T1[K]    T2[K]    T3[K]    T4[K]    Tb[K]    I[A]      V[V]
4.4710   4.464    4.4724   4.4678   4.4638   0.0       0.0
4.5968   4.582    4.5693   4.5517   4.5250   1.014e-3  0.2256
4.9690   4.914    4.8629   4.7980   4.6951   2.027e-3  0.4513
5.5250   5.422    5.3125   5.1838   4.9738   3.042e-3  0.6771
6.2153   6.051    5.8814   5.6750   5.3391   4.054e-3  0.9027
6.9886   6.761    6.5235   6.2675   5.7680   5.067e-3  1.128
7.8298   7.531    7.2215   6.8692   6.2510   6.081e-3  1.354
8.6941   8.335    7.9525   7.5230   6.7716   7.095e-3  1.58
6.5541   6.544    6.3708   6.2930   6.1017   3.042e-3  0.6773
7.1208   6.977    6.8386   6.6742   6.3937   4.055e-3  0.9028
7.8000   7.588    7.3906   7.1402   6.7465   5.066e-3  1.128
8.8603   8.793    8.7501   8.6791   8.5722   3.040e-3  0.6769
10.0290  9.981    9.9428   9.8870   9.8006   3.042e-3  0.6775
10.3863  10.290   10.2083  10.1137  9.9565   4.056e-3  0.9033
11.6396  11.555   11.4943  11.4062  11.2742  4.055e-3  0.9031
13.9670  13.908   13.8606  13.7981  13.6957  4.052e-3  0.9027
